VPID,IC1,Leman1,Leman2,Leman3,Leman4,Leman5,Leman6,Milne,Collins,rating,song,rhythm,chordnumber,nonmusician,presentorder,valence,arousal
2205,17.258,1.3718315036,1.3309218665,1.3213275143,2.0848501167,1.8930359216,1.8047031898,0.2882251974,-165974.664435949,119,1,1,13,1,7,5,5
2205,0.42113,1.5077803362,1.3812331596,1.2943791765,2.1873536335,1.8256169334,1.6300376795,0.2368079701,-185373.227613202,130,1,1,14,1,7,5,5
2205,5.206,1.2672011949,1.0832387122,0.982197122,1.7888474559,1.438391513,1.2646415508,0.4154672127,-183976.839462268,130,1,1,15,1,7,5,5
2205,11.513,1.6524666172,1.4578019722,1.2832600694,2.3576982539,1.8512846232,1.5308390779,0.1605090043,-183702.98111827,130,1,1,16,1,7,5,5
2205,4.2356,1.1714961679,0.972878498,0.8764941203,1.6381488916,1.2808997601,1.1167902074,0.3374628045,-166976.840059381,129,1,1,17,1,7,5,5
2205,5.6213,1.1327644331,1.0361095924,0.9755593627,1.6892274214,1.4321096114,1.2869127558,0.6555519369,-151441.907845985,583,1,1,18,1,7,5,5
2205,7.6736,1.744842915,1.5442202286,1.3659792501,2.373900251,1.8763113296,1.5683724295,0.0883909924,-146463.028796621,845,1,1,19,1,7,5,5
2205,10.537,1.2931988761,1.1368282474,1.036153433,1.8530675921,1.5374357199,1.3439010027,0.5013549411,-154983.375445841,845,1,1,20,1,7,5,5
2205,12.409,1.3966139656,1.2920517839,1.2423477645,2.0323571108,1.7258814223,1.5731593911,0.3066096767,-146076.221092178,931,1,1,21,1,7,5,5
2205,7.6684,1.3698174059,1.2659082892,1.220708967,1.9963892892,1.7358642654,1.6149299775,0.2809264168,-148342.584490396,931,1,1,22,1,7,5,5
2205,5.0307,1.7657106539,1.6034400337,1.4817986986,2.5242333619,2.071874647,1.8144998917,0.0883909924,-147925.661188681,1012,1,1,23,1,7,5,5
2205,10.467,1.2700449499,1.1152243495,1.0448830888,1.8163878686,1.5207770602,1.388667811,0.5013549411,-155931.769488759,1011,1,1,24,1,7,5,5
2205,4.9149,1.4502725585,1.1932894343,1.0113917721,1.9343474166,1.4566736153,1.1865903539,0.2416037146,-142990.647530044,578,1,1,25,1,7,5,5
2205,7.5939,1.0913935666,0.9225980871,0.8276010955,1.5729802356,1.2505744262,1.0721389397,0.4154672127,-165417.301094877,950,1,1,26,1,7,5,5
2205,4.6739,1.2943662029,1.0905051311,0.9680248186,1.7414678961,1.3402675906,1.1311001929,0.6001849317,-104763.631245372,580,1,1,27,1,7,5,5
2205,2.601,1.228571515,1.1088226516,1.0632597276,1.777567314,1.4742838589,1.3429417934,0.4154672127,-143598.562364401,329,1,1,28,1,7,5,5
2205,1.8278,1.4608451225,1.3495517443,1.2250352767,2.1115778412,1.7801314214,1.5118229455,0.4154672127,-159950.089624641,150,1,1,29,1,7,5,5
2205,0.78163,1.2996854595,1.2000609034,1.1550913007,1.9518258468,1.6832272557,1.5493852692,0.4154672127,-151655.295424723,147,1,1,30,1,7,5,5
2206,3.4824,1.9078045602,1.8722332362,1.8539110375,3.3028716912,3.1411343413,3.0644987876,NaN,-20526.4370800766,0,1,2,1,1,27,5,3
2206,4.5926,1.3654983473,1.2253162445,1.1442059157,1.9955310415,1.7012942852,1.5523909334,0.4154672127,-76731.5900527564,61,1,2,2,1,27,5,3
2206,3.3981,1.2374941888,1.0803535817,0.9928390498,1.7650269534,1.4594203908,1.3083394271,0.4967404454,-113430.906053487,150,1,2,3,1,27,5,3
2206,17.258,1.3981671679,1.3481458419,1.3342861964,2.08178615,1.893639718,1.816819496,0.2882251974,-124092.701863593,193,1,2,4,1,27,5,3
2206,0.57896,1.5713571629,1.4425125771,1.3742439902,2.2063486122,1.8676421358,1.7184772478,0.2368079701,-159099.989509944,340,1,2,5,1,27,5,3
2206,11.317,1.276254604,1.0891433587,0.9870551846,1.7896837216,1.4429549799,1.2745520043,0.4154672127,-168157.367603966,227,1,2,6,1,27,5,3
2206,11.616,1.661545559,1.4701163016,1.3072595158,2.3763228913,1.8766197993,1.573530264,0.1605090043,-175201.320142461,718,1,2,7,1,27,5,3
2206,5.4017,1.1779157396,0.9712641412,0.8688082026,1.6382448149,1.2787678359,1.1132546046,0.3374628045,-161865.833628431,477,1,2,8,1,27,5,3
2206,10.266,1.3196637452,1.2651479415,1.2617119427,1.940760576,1.7278679504,1.6503780122,0.540312135,-152417.663892073,837,1,2,9,1,27,5,3
2206,0.1129,1.549333401,1.3727334226,1.2601611585,2.1330268934,1.7246709387,1.5197134539,0.2368079701,-177734.220691545,499,1,2,10,1,27,5,3
2206,7.1761,1.3088869549,1.152110265,1.0767680301,1.8566909951,1.5383919255,1.3927306352,0.4154672127,-183027.87866282,383,1,2,11,1,27,5,3
